lastname,firstname,carid,currentemploymenttype,currentemploymenttitle
Calixto,Nils,1.0,Information Technology,IT Helpdesk
Azada,Lars,2.0,Engineering,Engineer
Balas,Felix,3.0,Engineering,Engineer
Barranco,Ingrid,4.0,Executive,SVP/CFO
Baza,Isak,5.0,Information Technology,IT Technician
Bergen,Linnea,6.0,Information Technology,IT Group Manager
Orilla,Elsa,7.0,Engineering,Drill Technician
Alcazar,Lucas,8.0,Information Technology,IT Technician
Cazar,Gustav,9.0,Engineering,Drill Technician
Campo-Corrente,Ada,10.0,Executive,SVP/CIO
Calzas,Axel,11.0,Engineering,Hydraulic Technician
Cocinaro,Hideki,12.0,Security,Site Control
Ferro,Inga,13.0,Security,Site Control
Dedos,Lidelse,14.0,Engineering,Engineering Group Manager
Bodrogi,Loreto,15.0,Security,Site Control
Vann,Isia,16.0,Security,Perimeter Control
Flecha,Sven,17.0,Information Technology,IT Technician
Frente,Birgitta,18.0,Engineering,Geologist
Frente,Vira,19.0,Engineering,Hydraulic Technician
Fusil,Stenig,20.0,Security,Building Control
Osvaldo,Hennie,21.0,Security,Perimeter Control
Nubarron,Adra,22.0,Security,Badging Office
Lagos,Varja,23.0,Security,Badging Office
Mies,Minke,24.0,Security,Perimeter Control
Herrero,Kanon,25.0,Engineering,Geologist
Onda,Marin,26.0,Engineering,Drill Site Manager
Orilla,Kare,27.0,Engineering,Drill Technician
Borrasca,Isande,28.0,Engineering,Drill Technician
Ovan,Bertrand,29.0,Facilities,Facilities Group Manager
Resumir,Felix,30.0,Security,Security Group Manager
Sanjorge Jr.,Sten,31.0,Executive,President/CEO
Strum,Orhan,32.0,Executive,SVP/COO
Tempestad,Brand,33.0,Engineering,Drill Technician
Vann,Edvard,34.0,Security,Perimeter Control
Vasco-Pais,Willem,35.0,Executive,Environmental Safety Advisor
Hafon,Albina,,Facilities,Truck Driver
Hawelon,Benito,,Facilities,Truck Driver
Hawelon,Claudio,,Facilities,Truck Driver
Mies,Henk,,Facilities,Truck Driver
Morlun,Valeria,,Facilities,Truck Driver
Morlun,Adan,,Facilities,Truck Driver
Morluniau,Cecilia,,Facilities,Truck Driver
Nant,Irene,,Facilities,Truck Driver
Scozzese,Dylan,,Facilities,Truck Driver
